affiliated_committee_name,candidate_ids,committee_id,committee_type,designation_type,name,organization_type,state,topic_weight,summary
,[],C00521237,Super PAC (Independent Expenditure-Only),Unauthorized,CONSERVATIVE VALUES PROJECT,,FL,,
BLANK,[],C00218172,PAC - Qualified,Unauthorized,CONSERVATIVE VICTORY COMMITTEE,Membership Organization,VA,,
NONE,[],C00481085,PAC - Nonqualified,Unauthorized,CONSERVATIVE VICTORY FUND,,VA,,
NONE,[],C00009704,PAC - Qualified,Unauthorized,CONSERVATIVE VICTORY FUND,,DC,,
NONE,[],C00504605,PAC - Nonqualified,Unauthorized,CONSERVATIVE VICTORY INC,,MD,,
,[],C90012493,Independent expenditure filer (not a committee),Unauthorized,CONSERVATIVE YOUNG GUNS,,VA,,
,[],C00464529,PAC - Nonqualified,Unauthorized,CONSERVATIVE YOUTH MOVEMENT PAC,,WI,,
CONSOL ENERGY INC.,[],C00279331,PAC - Qualified,Lobbyist/Registrant PAC,CONSOL ENERGY INC. PAC,Corporation,DC,tw_energy,Energy (Non-Renewable) Businesses
"CONSOLIDATED COMMUNICATIONS, INC.",[],C00427542,PAC - Qualified,Unauthorized,"CONSOLIDATED COMMUNICATIONS PAC,  INC. - FEDERAL",Corporation,NH,,
CONSOLIDATED EDISON INC. EMPLOYEES' POLITICAL ACTION COMMITTEE (CEIPAC),[],C00407635,PAC - Qualified,Lobbyist/Registrant PAC,CONSOLIDATED EDISON INC. EMPLOYEES' POLITICAL ACTION COMMITTEE (CEIPAC),Corporation,NY,tw_labor,Labor Unions
NONE,[],C00526145,Super PAC (Independent Expenditure-Only),Unauthorized,CONSOLIDATED IZA,,PA,,
"CONSTELLATION BRANDS, INC.",[],C00304832,PAC - Qualified,Unauthorized,CONSTELLATION BRANDS INC POLITICAL ACTION COMMITTEE,Corporation,NY,,
CONSTELLATION ENERGY GROUP INC.,[],C00041376,PAC - Qualified,Lobbyist/Registrant PAC,CONSTELLATION ENERGY GROUP INC. FEDERAL PAC,Corporation,MD,,
CONSTITUTIONAL CONCEPTS FOUNDATION,[],C00516070,PAC - Nonqualified,Unauthorized,CONSTITUTIONAL CONCEPTS POLITICAL ACTION COMMITTEE,Corporation w/o capital stock,UT,,
LEE,[],C00497362,PAC - Qualified,Leadership PAC,CONSTITUTIONAL CONSERVATIVES FUND,,UT,,
,[],C00450627,PAC - Nonqualified,Unauthorized,CONSTITUTIONAL MEDIA POLITICAL ACTION COMMITTEE,,AK,,
,[],C00521716,Super PAC (Independent Expenditure-Only),Unauthorized,CONSTITUTIONAL POLITICAL ACTION COMMITTEE; THE (COPAC) ,,AZ,,
,[],C00502021,PAC - Nonqualified,Unauthorized,CONSTITUTIONAL REFORMATION MOVEMENT LLC,Membership Organization,MD,,
NONE,[],C00540229,Hybrid PAC (with Non-Contribution Account) - Nonqualified,Unauthorized,CONSTITUTIONAL RIGHTS PAC,,VA,,
CONSTITUTION PARTY NATIONAL COMMITTEE,[],C00518142,Party - Nonqualified,Unauthorized,CONSTITUTION PARTY 2012 CONVENTION COMMITTEE,,PA,,
NONE,[],C00279802,Party - Qualified,Unauthorized,CONSTITUTION PARTY NATIONAL COMMITTEE,,PA,,
NONE,[],C00299842,Party - Nonqualified,Unauthorized,CONSTITUTION PARTY OF KENTUCKY,,KY,,
CONSTRUCTORS ASSOCIATION OF WESTERN PENNSYLVANIA,[],C00341016,PAC - Qualified,Unauthorized,CONSTRUCTORS ASSOCIATION OF WESTERN PENNSYLVANIA POLITICAL ACTION COMMITTEE,Trade Association,PA,,
NONE,[],C00489880,PAC - Nonqualified,Unauthorized,CONSUMER ADVOCATES FOR REAL ECONOMIC STRENGTH,,FL,,
CONSUMER BRANDS ASSOCIATION,[],C00250068,PAC - Qualified,Unauthorized,CONSUMER BRANDS POLITICAL ACTION COMMITTEE ('CONSUMER BRANDS ASSOCIATION PAC'),Trade Association,VA,,
,[],C00030593,PAC - Qualified,Unauthorized,CONSUMER DATA INDUSTRY ASSOCIATION INC POLITICAL ACTION COMMITTEE OR CDIA PAC,Trade Association,DC,,
NONE,[],C00522789,PAC - Nonqualified,Unauthorized,CONSUMER FINANCIAL PROTECTION ADVOCACY COMMITTEE,,WI,,
CONSUMER FIREWORKS SAFETY ASSOCIATION,[],C00297077,PAC - Nonqualified,Unauthorized,CONSUMER FIREWORKS SAFETY ASSOCIATION POLITICAL ACTION COMMITTEE FEDERAL ACCOUNT,Trade Association,CA,,
CONSUMER HEALTHCARE PRODUCTS ASSOCIATION,[],C00040584,PAC - Qualified,Lobbyist/Registrant PAC,CONSUMER HEALTHCARE PRODUCTS ASSOCIATION PAC  (CHPA/PAC),Trade Association,DC,,
CONSUMER SPECIALTY PRODUCTS ASSOCIATION PAC,[],C00122937,PAC - Qualified,Lobbyist/Registrant PAC,CONSUMER SPECIALTY PRODUCTS ASSOCIATION PAC,Trade Association,DC,,
CONSUMER TECHNOLOGY ASSOCIATION,[],C00375048,PAC - Qualified,Lobbyist/Registrant PAC,CONSUMER TECHNOLOGY ASSOCIATION PAC,Corporation,VA,,
WAYNE FARMS POLITICAL ACTION COMMITTEE,[],C00155853,PAC - Qualified,Unauthorized,CONTINENTAL GRAIN COMPANY POLITICAL ACTION COMMITTEE,Corporation,NY,,
DAVID LEE CAMP,[],C00350462,PAC - Qualified,Leadership PAC,CONTINUING A MAJORITY PARTY ACTION COMMITTEE (CAMPAC),,MI,,
CASSIDY,[],C00480228,PAC - Qualified,Leadership PAC,CONTINUING AMERICA'S STRENGTH AND SECURITY PAC,,LA,,
CALIFORNIA REPUBLICAN PARTY (FED),[],C00136853,Party - Qualified,Unauthorized,CONTRA COSTA REPUBLICAN PARTY (FED),,CA,,
CONTRAN CORPORATION,[],C00148783,PAC - Qualified,Unauthorized,CONTRAN CORPORATION POLITICAL ACTION COMMITTEE (CONPAC),Corporation,TX,,
,['H0AZ04493'],C00474007,House,Principal campaign committee,CONTRERAS FOR ARIZONA,,AZ,,
,['H6CA41174'],C00418129,House,Authorized by a candidate,CONTRERAS FOR CONGRESS COMMITTEE,,CA,,
,[],C00174391,PAC - Qualified,Unauthorized,CONVENIENCE DISTRIBUTION ASSOCIATION PAC,Trade Association,VA,,
CONVERGYS CORPORATION,[],C00350108,PAC - Qualified,Unauthorized,CONVERGYS CORPORATION POLITICAL ACTION COMMITTEE,Corporation,OH,,
,[],C00475590,PAC - Nonqualified,Unauthorized,CONVERTEAM HOLDINGS NORTH AMERICA INC AND SUBSIDIARIES PAC,Corporation,PA,,
CON-WAY INC.,[],C00110759,PAC - Qualified,Lobbyist/Registrant PAC,CON-WAY INC. POLITICAL ACTION COMMITTEE,Corporation,MI,,
NONE,['H6MI01028'],C00409797,House,Principal campaign committee,CONYERS FOR CONGRESS,,DC,,
,['H2VA01066'],C00509141,House,Principal campaign committee,COOK FOR CONGRESS,,VA,,
,[],C00399089,PAC - Nonqualified,Unauthorized,COOK GROUP INC PAC,Corporation,VA,,
,[],C30001895,Electioneering Communication,Unauthorized,COOK INLET SPORTFISHING CAUCUS,,AK,,
,['H2GA09200'],C00522391,House,Principal campaign committee,COOLEY FOR CONGRESS 2012,,GA,,
NONE,['H2IL06058'],C00505610,House,Principal campaign committee,COOLIDGE FOR CONGRESS,,IL,,
WEBSTER,[],C00525592,PAC - Nonqualified,Leadership PAC,COOL PAC,,FL,,
,['H8MI06098'],C00485441,House,Principal campaign committee,COONEY FOR CONGRESS,,MI,,
,[],C00476846,PAC - Nonqualified,Unauthorized,COON RAPIDS YOUNG POLITICAL ACTION COMMITTEE,,MN,,
COOPERATIVE OF AMERICAN PHYSICIANS,[],C00161604,PAC - Qualified,Unauthorized,COOPERATIVE OF AMERICAN PHYSICIANS FEDERAL POLITICAL ACTION COMMITTEE,Corporation,CA,tw_banking_and_finance,Financial Businesses
COOPERATIVE OF AMERICAN PHYSICIANS,[],C00492116,Super PAC (Independent Expenditure-Only),Unauthorized,COOPERATIVE OF AMERICAN PHYSICIANS INDEPENDENT EXPENDITURE COMMITTEE,,CA,tw_banking_and_finance,Financial Businesses
NONE,['H2TN05131'],C00376665,House,Principal campaign committee,COOPER FOR CONGRESS,,TN,,
NONE,['H0TX04102'],C00461301,House,Principal campaign committee,COOPER FOR CONGRESS COMMITTEE,,TX,,
COOPER INDUSTRIES PLC,[],C00099937,PAC - Qualified,Unauthorized,COOPER INDUSTRIES PLC POLITICAL ACTION COMMITTEE,Corporation,OH,,
THE GOODYEAR TIRE & RUBBER COMPANY GOOD GOVERNMENT FUND (GOODYEAR GOOD GOVERNMENT FUND),[],C00370270,PAC - Qualified,Lobbyist/Registrant PAC,COOPER TIRE & RUBBER COMPANY POLITICAL ACTION COMMITTEE,Corporation,OH,,
NONE,[],C00440586,PAC - Nonqualified,Unauthorized,COOS BAY AREA DEVELOPMENT PAC,,DC,,
COPART INC POLITICAL ACTION COMMITTEE (COPART PAC),[],C00452581,PAC - Qualified,Unauthorized,COPART INC POLITICAL ACTION COMMITTEE (COPART PAC),Corporation,TX,,
SHEET METAL WORKERS INTL ASSOC,[],C00211987,PAC - Qualified,Unauthorized,COPE 33 DBA SHEET METAL WORKERS COPE 33,Labor Organization,OH,tw_labor,Labor Unions
,[],C90010109,Independent expenditure filer (not a committee),Unauthorized,"COPELAND, BO",,OH,,
PIMA CNTY REP PTY FED CAMP CMTE,['H0AZ01259'],C00528836,PAC - Nonqualified,Joint fundraising committee,COPPER STATE VICTORY FUND,,AZ,,
,[],C90013087,Independent expenditure filer (not a committee),Unauthorized,COPS VOTER GUIDE,,CA,,
CLARKE FOR CONGRESS,[],C00445908,PAC - Nonqualified,Leadership PAC,CORAL REEF PAC,,DC,,
,['H2CA15086'],C00502088,House,Principal campaign committee,CORBETT FOR CONGRESS,,CA,,
,['H8SC04177'],C00486092,House,Principal campaign committee,CORDEN FOR CONGRESS,,SC,,
"CORECIVIC, INC.",[],C00366468,PAC - Qualified,Lobbyist/Registrant PAC,"CORECIVIC, INC. POLITICAL ACTION COMMITTEE (CORECIVIC PAC)",Corporation,TN,,
"CORELOGIC, INC.",[],C00416693,PAC - Qualified,Unauthorized,CORELOGIC INC PAC,Corporation,CA,,
,['H0PA11142'],C00466920,House,Principal campaign committee,COREY D O'BRIEN FOR CONGRESS,,PA,,
"CORINTHIAN COLLEGES, INC.",[],C00357640,PAC - Qualified,Lobbyist/Registrant PAC,CORINTHIAN COLLEGES INC PAC,Corporation,DC,,
NRSC,['S6TN00216'],C00498790,PAC - Nonqualified,Joint fundraising committee,CORKER VICTORY COMMITTEE,,VA,,
,[],C90011610,Independent expenditure filer (not a committee),Unauthorized,CORNERSTONE ACTION,,NH,,
NONE,['H0OR01095'],C00464107,House,Principal campaign committee,CORNILLES FOR CONGRESS,,OR,,
CORNING INCORPORATED,[],C00033589,PAC - Qualified,Lobbyist/Registrant PAC,CORNING INCORPORATED EMPLOYEES POLITICAL ACTION COMMITTEE (COREPAC),Corporation,DC,tw_labor,Labor Unions
NONE,['S2TX00106'],C00460378,PAC - Nonqualified,Joint fundraising committee,CORNYN MAJORITY COMMITTEE,,VA,,
MAN IN THE ARENA,['H2CA46099'],C00368589,House,Principal campaign committee,CORONADO FOR CONGRESS,,DC,,
CORPORATE AMERICA CREDIT UNION,[],C00466656,PAC - Nonqualified,Unauthorized,CORPORATE AMERICA PAC I,Corporation,AL,,
,[],C00508432,Super PAC (Independent Expenditure-Only),Unauthorized,CORPORATIONS FOR HIGHER UNEMPLOYMENT AND LOWER WAGES,,FL,,
"CORRIDOR 67, INC.",[],C00238691,PAC - Qualified,Unauthorized,"CORRIDOR 67, INC POLITICAL ACTION COMMITTEE - PAC 67",Corporation,IL,,
,['H8NJ12082'],C00476283,House,Principal campaign committee,CORSI FOR CONGRESS COMMITTEE,,NJ,,
"CORTEVA, INC.",[],C00247981,PAC - Qualified,Lobbyist/Registrant PAC,"CORTEVA, INC. EMPLOYEES PAC (CORTEVA AGRISCIENCE PAC)",Corporation,DC,tw_labor,Labor Unions
,['H0GA04098'],C00477463,House,Principal campaign committee,CORY RUTH FOR CONGRESS,,GA,,
,[],C90004078,Independent expenditure filer (not a committee),Unauthorized,COSTA MESA REPUBLICAN ASSEMBLY,,CA,,
,['H8IL21021'],C00238444,House,Principal campaign committee,COSTELLO FOR CONGRESS COMMITTEE,,IL,,
,['H2MI14129'],C00522862,House,Principal campaign committee,COSTELLO FOR CONGRESS COMMITTEE,,MI,,
COTERRA ENERGY INC.,[],C00486050,PAC - Qualified,Unauthorized,COTERRA ENERGY INC. POLITICAL ACTION COMMITTEE,Corporation,TX,,
,['H0CA00108'],C00480624,House,Principal campaign committee,COTTON FOR CONGRESS,,CA,tw_agriculture,Agricultural Businesses
,['H0IL10294'],C00465799,House,Principal campaign committee,COULSON FOR CONGRESS,,IL,,
,[],C90013830,Independent expenditure filer (not a committee),Unauthorized,COUNCIL FOR A LIVABLE WORLD,,DC,tw_defense_and_foreign_policy,Foreign and Defense Policy
COUNCIL FOR A LIVABLE WORLD,[],C00387555,PAC - Qualified,Lobbyist/Registrant PAC,COUNCIL FOR A LIVABLE WORLD CANDIDATE FUND,,DC,tw_defense_and_foreign_policy,Foreign and Defense Policy
COUNCIL FOR CITIZENS AGAINST GOVERNMENT WASTE POLITICAL ACTION COMMITTEE (CCAGW PAC),[],C00391490,PAC - Qualified,Lobbyist/Registrant PAC,COUNCIL FOR CITIZENS AGAINST GOVERNMENT WASTE POLITICAL ACTION COMMITTEE (CCAGW PAC),,DC,,
,[],C90009127,Independent expenditure filer (not a committee),Unauthorized,COUNCIL FOR RESPONSIBLE GOVERNMENT,,VA,,
COUNCIL FOR RESPONSIBLE NUTRITION,[],C00399659,PAC - Qualified,Lobbyist/Registrant PAC,COUNCIL FOR RESPONSIBLE NUTRITION POLITICAL ACTION COMMITTEE,Trade Association,DC,,
,[],C00456723,PAC - Nonqualified,Unauthorized,COUNCIL OF ACUPUNCTURE AND ORIENTAL MEDICINE ASSOCIATIONS,Membership Organization,CA,,
COUNCIL/NEW JERSEY CHIROPRACTORS INC,[],C00262303,PAC - Nonqualified,Unauthorized,COUNCIL OF NEW JERSEY CHIROPRACTORS PAC,Membership Organization,NJ,,
COUNCIL OF PRODUCERS AND DISTRIBUTORS OF AGROTECHNOLOGY,[],C00214809,PAC - Qualified,Unauthorized,COUNCIL OF PRODUCERS AND DISTRIBUTORS OF AGROTECHNOLOGY PAC (CPDA-PAC),Trade Association,VA,,
COUNCIL OF SCHOOL SUPERVISORS AND ADMINISTRATORS LOCAL 1 AFSA AFL-CIO,[],C00355818,PAC - Qualified,Unauthorized,COUNCIL OF SCHOOL SUPERVISORS AND ADMINISTRATORS LOCAL 1 AFSA AFL-CIO,Labor Organization,NY,tw_labor,Labor Unions
NORTH AMERICAN INSULATION MANUFACTURERS ASSOCIATION INC.,[],C00498865,PAC - Nonqualified,Lobbyist/Registrant PAC,COUNCIL OF THE NORTH AMERICAN INSULATION MANUFACTURERS ASSOCIATION INC PAC (IMPAC),Membership Organization,VA,,
COUNCIL FOR AFFORDABLE AND RURAL HOUSING,[],C00303818,PAC - Qualified,Unauthorized,COUNCIL OR AFFORDABLE AND RURAL HOUSING PAC (CARH PAC),Trade Association,VA,,
MCCAIN,[],C00457705,PAC - Qualified,Leadership PAC,"COUNTRY FIRST POLITICAL ACTION COMMITTEE, INC. (COUNTRY FIRST PAC)",,NC,,
COUNTRY FIRST,['H0IL11052'],C00458877,PAC - Nonqualified,Unauthorized,COUNTRY OVER PARTY PAC,,IL,,
MANCHIN,[],C00484402,PAC - Qualified,Leadership PAC,COUNTRY ROADS PAC,,WV,,
COUNTRY VILLA HEALTH SERVICES,[],C00488460,PAC - Nonqualified,Unauthorized,COUNTRY VILLA HEALTH SERVICES POLITICAL ACTION COMMITTEE (CVHS PAC),Corporation,CA,,
,[],C00472431,PAC - Nonqualified,Unauthorized,COUNTY FIRST,,NY,,
NONE,[],C00523498,Super PAC (Independent Expenditure-Only),Unauthorized,COURAGE CALIFORNIA SUPER PAC,,CA,,
DEMOCRACY DEFENDERS,['H2CT02112'],C00410233,House,Principal campaign committee,COURTNEY FOR CONGRESS,,CT,,
,['H2ME01123'],C00521245,House,Principal campaign committee,COURTNEY FOR CONGRESS,,ME,,
,['H2CA02126'],C00502237,House,Principal campaign committee,COURTNEY FOR CONGRESS 2012,,CA,,
,['H2CT02138'],C00496042,House,Principal campaign committee,COUTU FOR CONGRESS,,CT,,
COVANTA HOLDING CORPORATION,[],C00142158,PAC - Qualified,Lobbyist/Registrant PAC,COVANTA ENERGY LLC POLITICAL ACTION COMMITTEE (COVANTA PAC),Corporation,NJ,,
COVENTRY HEALTH CARE INC.,[],C00217216,PAC - Qualified,Lobbyist/Registrant PAC,COVENTRY HEALTH CARE INC - FIRST HEALTH GROUP PAC,Corporation,MD,,
COVIDIEN HOLDINGS INC.,[],C00433490,PAC - Qualified,Lobbyist/Registrant PAC,COVIDIEN HOLDINGS INC. POLITICAL ACTION COMMITTEE,Corporation,DC,,
NONE,[],C00462630,PAC - Qualified,Lobbyist/Registrant PAC,COVINGTON AND BURLING LLP PAC,,DC,,
,['H2AR04117'],C00506451,House,Principal campaign committee,COWART FOR CONGRESS,,AR,,
NONE,['H2PR00065'],C00506212,House,Principal campaign committee,COX ALOMAR 2012 INC,,PR,,
COX ENTERPRISES INC.,[],C00477653,PAC - Qualified,Lobbyist/Registrant PAC,COX ENTERPRISES PAC (COXPAC) INC.,Corporation,DC,,
,['H4FL06022'],C00540021,House,Principal campaign committee,COX FOR CONGRESS,,FL,,
,['H0PA14039'],C00119701,House,Principal campaign committee,COYNE FOR CONGRESS (WILLIAM J COYNE),,PA,,
NONE,['H0TX06065'],C00466425,House,Principal campaign committee,COZAD FOR CONGRESS,,TX,,
COZEN O'CONNOR,[],C00312777,PAC - Qualified,Unauthorized,COZEN O'CONNOR POLITICAL ACTION COMMITTEE,Corporation,PA,,
AMERICAN CONSERVATIVE UNION,[],C00130658,Hybrid PAC (with Non-Contribution Account) - Nonqualified,Lobbyist/Registrant PAC,CPAC ACTION PAC,,VA,,
,"['H2CA02142', 'H2CA20094', 'H2CA26109']",C00515569,House,Joint fundraising committee,CPE VICTORY FUND CALIFORNIANS FOR A PROSPEROUS ECONOMY V F,,CA,,
"CRACKER BARREL OLD COUNTRY STORE, INC.",[],C00252791,PAC - Qualified,Lobbyist/Registrant PAC,"CRACKER BARREL OLD COUNTRY STORE, INC. PAC",Corporation,TN,,
,['H0NV01110'],C00466581,House,Principal campaign committee,CRAIG LAKE FOR CONGRESS,,NV,,
,['H0FL24148'],C00512442,House,Principal campaign committee,CRAIG MILLER FOR US CONGRESS,,FL,,
NONE,['H0FL25020'],C00474015,House,Principal campaign committee,CRAIG PORTER FOR CONGRESS,,FL,,
SOUTHEAST ROMP,['H4LA03051'],C00398974,House,Principal campaign committee,CRAIG ROMERO FOR CONGRESS INC.,,LA,,
,['H0TN08220'],C00462119,House,Principal campaign committee,CRAIG R STEINFELS FOR CONGRESS,,TN,,
NONE,['H0FL24148'],C00475707,House,Authorized by a candidate,CRAIG S. MILLER FOR CONGRESS,,FL,,
,['H8OH11273'],C00457333,House,Principal campaign committee,CRAIGWILLIS2CONGRESS,,OH,,
NONE,['H0GA13032'],C00476457,House,Principal campaign committee,CRANE FOR CONGRESS INC,,GA,,
FRESHMAN HOLD'EM JFC,['H0MN08115'],C00475632,House,Principal campaign committee,CRAVAACK FOR CONGRESS CAMPAIGN COMMITTEE,,MN,,
TRANSPORTATION TRUST FUND,['H0AR01083'],C00462374,House,Principal campaign committee,CRAWFORD FOR CONGRESS,,AR,,
CRAY INC.,[],C00458547,PAC - Qualified,Lobbyist/Registrant PAC,CRAY INC EMPLOYEE POLITICAL ACTION COMMITTEE (AKA CRAY PAC),Corporation,VA,,
C. R. BARD INC.,[],C00359125,PAC - Qualified,Lobbyist/Registrant PAC,C. R. BARD INC. ACTIVE CITIZENSHIP COMMITTEE,Corporation,NJ,,
NONE,['H0MI10071'],C00347476,PAC - Qualified,Unauthorized,CREATING A MAJORITY PARTY ACTION COMMITTEE (C.A.M.P.A.C.),,MI,,
NONE,[],C00502427,PAC - Nonqualified,Unauthorized,CREATIVE ARTS PAC,Corporation,NY,,
NONE,[],C00495762,PAC - Nonqualified,Unauthorized,CREATIVE CONGRESS FOR AMERICA,,CA,,
,[],C00513192,PAC - Nonqualified,Unauthorized,CREATIVE SOLUTIONS IN HEALTHCARE INC PAC LLC (SHORT NAME CREATIVEPAC),Corporation,TX,,
CREDIT SUISSE SECURITIES (USA) LLC,[],C00111559,PAC - Qualified,Lobbyist/Registrant PAC,CREDIT SUISSE SECURITIES (USA) LLC POLITICAL ACTION COMMITTEE,Corporation,DC,,
,['H2TN07178'],C00518068,House,Principal campaign committee,CREDO FOR CONGRESS,,TN,,
NONE,[],C00507517,Super PAC (Independent Expenditure-Only),Unauthorized,CREDO SUPERPAC,,CA,,
CRESCENT RIVER PORT PILOTS ASSOCIATION,[],C00221077,PAC - Qualified,Unauthorized,CRESCENT RIVER PORT PILOTS ASSOCIATION FEDERAL POLITICAL ACTION COMMITTEE/CRPPA FED PAC,Membership Organization,LA,,
CRGT INC,[],C00452235,PAC - Nonqualified,Unauthorized,CRGT INC PAC,Corporation,VA,,
"CRH AMERICAS, INC.",[],C00346353,PAC - Qualified,Lobbyist/Registrant PAC,"CRH AMERICAS, INC. PAC",Corporation,TX,,
"CRICKET COMMUNICATIONS, INC.",[],C00435222,PAC - Qualified,Lobbyist/Registrant PAC,CRICKET COMMUNICATIONS INC. POLITICAL ACTION COMMITTEE (CRICKETPAC),Corporation,TX,,
NONE,['H8CA53019'],C00441410,House,Authorized by a candidate,CRIMMINS FOR CONGRESS,,CA,,
,['H8CA53019'],C00514802,House,Principal campaign committee,CRIMMINS FOR CONGRESS,,CA,,
,[],C90008434,Independent expenditure filer (not a committee),Unauthorized,"CRINOT, KRISTIN",,KY,,
,['H4WA03098'],C00443853,House,Principal campaign committee,CRIST FOR CONGRESS CAMPAIGN,,WA,,
PENNSYLVANIA DEM PARTY,['H0PA12132'],C00525451,PAC - Nonqualified,Joint fundraising committee,CRITZ VICTORY FUND 2012,,PA,,
,[],C90012394,Independent expenditure filer (not a committee),Unauthorized,"CROCKER, JARED",,UT,,
,['H8WY00148'],C00490888,Single Candidate Independent Expenditure,Unauthorized,CROOK COUNTY REPUBLICAN WOMEN,,WY,,
CROP INSURANCE PROFESSIONALS ASSOCIATION,[],C00503680,PAC - Qualified,Unauthorized,CROP INSURANCE PROFESSIONALS ASSOCIATION PAC-CIPA PAC,Trade Association,DC,tw_banking_and_finance,Financial Businesses
CROP INSURANCE AND REINSURANCE BUREAU,[],C00150805,PAC - Qualified,Lobbyist/Registrant PAC,CROP INSURANCE REINSURANCE BUREAU (CIRB)-PAC,Trade Association,DC,tw_banking_and_finance,Financial Businesses
CROPLIFE AMERICA,[],C00248849,PAC - Qualified,Lobbyist/Registrant PAC,CROPLIFE AMERICA POLITICAL ACTION COMMITTEE,Trade Association,VA,,
NONE,[],C00521146,Super PAC (Independent Expenditure-Only),Unauthorized,CROSSROADS GENERATION,,VA,,
,[],C30001655,Electioneering Communication,Unauthorized,CROSSROADS GRASSROOTS POLICY STRATEGIES,,DC,,
,[],C90011719,Independent expenditure filer (not a committee),Unauthorized,CROSSROADS GRASSROOTS POLICY STRATEGIES,,DC,,
CROSSSTATE CREDIT UNION ASSOCIATION,[],C00109397,PAC - Qualified,Lobbyist/Registrant PAC,CROSSSTATE CREDIT UNION ASSOCIATION POLITICAL ACTION COMMITTEE,Trade Association,PA,tw_banking_and_finance,Financial Businesses
NONE,[],C00451518,PAC - Qualified,Unauthorized,CROWE PAC,,IN,tw_banking_and_finance,Financial Businesses
CROWLEY LEADERSHIP FUND,['H8NY07046'],C00338954,House,Principal campaign committee,CROWLEY FOR CONGRESS,,DC,,
CROWLEY MARITIME CORPORATION FEDERAL PAC,[],C00147231,PAC - Qualified,Lobbyist/Registrant PAC,CROWLEY MARITIME CORPORATION FEDERAL PAC,Corporation,FL,,
CROWN CORK & SEAL COMPANY INC.,[],C00254268,PAC - Qualified,Unauthorized,CROWN CORK & SEAL COMPANY INC. PAC,Corporation,PA,,
CRUISE LINES INTERNATIONAL ASSOCIATION INC.,[],C00432393,PAC - Qualified,Lobbyist/Registrant PAC,CRUISE LINES INTERNATIONAL ASSOCIATION PAC (CLIA PAC),Trade Association,DC,,
,['S6FL00160'],C00479816,Single Candidate Independent Expenditure,Unauthorized,CRUSH CRIST,,FL,,
,['S2TX00312'],C00529040,PAC - Nonqualified,Joint fundraising committee,CRUZ VICTORY COMMITTEE,,TX,,
CRYPTEK INC,[],C00386565,PAC - Nonqualified,Unauthorized,CRYPTEK POLITICAL ACTION COMMITTEE,Corporation,VA,,
,['H2MS03102'],C00510453,House,Principal campaign committee,CRYSTAL BIGGS FOR MISSISSIPPI,,MS,,
,[],C00452656,PAC - Nonqualified,Unauthorized,CSFJM,,TX,,
CSL BEHRING,[],C00422501,PAC - Qualified,Lobbyist/Registrant PAC,CSL EMPLOYEES POLITICAL ACTION COMMITTEE,Corporation,PA,tw_labor,Labor Unions
CSRA INC.,[],C00101410,PAC - Qualified,Lobbyist/Registrant PAC,CSRA INC. PAC,Corporation,VA,,
,[],C30001713,Electioneering Communication,Unauthorized,CSS ACTION FUND INC.,,DC,,
CSX CORPORATION,[],C00163832,PAC - Qualified,Lobbyist/Registrant PAC,CSX CORPORATION GOOD GOVERNMENT FUND,Corporation,DC,,
CTIA - THE WIRELESS ASSOCIATION,[],C00262295,PAC - Qualified,Lobbyist/Registrant PAC,CTIA - THE WIRELESS ASSOCIATION POLITICAL ACTION COMMITTEE,Trade Association,DC,,
NONE,[],C00428649,Party - Nonqualified,Unauthorized,CT WORKING FAMILIES FEDERAL PAC D/B/A TAKE BACK CONGRESS CT,,CT,,
NONE,[],C00496174,PAC - Nonqualified,Unauthorized,CUBA PROPERTY RIGHTS PAC INC,,FL,,
CUBIC CORPORATION,[],C00151787,PAC - Qualified,Lobbyist/Registrant PAC,CUBIC CORPORATION EMPLOYEES' POLITICAL ACTION COMMITTEE,Corporation,CA,tw_labor,Labor Unions
CUBIST PHARMACEUTICALS INC.,[],C00460238,PAC - Qualified,Lobbyist/Registrant PAC,CUBIST PHARMACEUTICALS INC. PAC (CUBIST PAC),Corporation,MA,,
CREDIT UNION NATIONAL ASSOCIATION,[],C00007880,PAC - Qualified,Lobbyist/Registrant PAC,CULAC THE PAC OF CREDIT UNION NATIONAL ASSOCIATION,Trade Association,DC,tw_banking_and_finance,Financial Businesses
NONE,['H0TX07055'],C00343236,House,Principal campaign committee,CULBERSON FOR CONGRESS,,TX,,
,['H2SC07132'],C00512517,House,Principal campaign committee,CULLER FOR CONGRESS,,SC,,
NONE,[],C00447136,PAC - Nonqualified,Unauthorized,CULPEPER COUNTY DEMOCRATIC COMMITTEE - P A C,,VA,,
NONE,[],C00407163,PAC - Nonqualified,Unauthorized,CULVER CITY DEMOCRATIC CLUB,,CA,,
,[],C00454678,Party - Nonqualified,Unauthorized,CUMBERLAND COUNTY REPUBLICAN PARTY FEDERAL COMMITTEE,,NC,,
,[],C00523225,PAC - Qualified,Unauthorized,CUMBERLAND FARMS INC. POLITICAL ACTION COMMITTEE (CUMBERLAND FARMS PAC),Corporation,MA,tw_agriculture,Agricultural Businesses
NONE,['H2WY00133'],C00532721,House,Principal campaign committee,CUMMINGS 4 CONGRESS,,UT,,
NONE,['H6MD07160'],C00310318,House,Principal campaign committee,CUMMINGS FOR CONGRESS CAMPAIGN COMMITTEE,,MD,,
